id	placeName	lat	lon	def	note type=Mariette	GeoName_URL	Pleiades_URL	TopBib_URL	TMGeo_URL	Wikidata_URL
CoEg_place_00000118	Médinet-Habou	25.71937 	32.60123 	(مدينة هابو [Madīnat Hābū])		https://www.geonames.org/9073432	https://pleiades.stoa.org/places/321318358	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=213	https://www.trismegistos.org/place/1341	https://www.wikidata.org/wiki/Q932622
CoEg_place_00000119	Deir el-Bahari	25.7374 	32.60755 	(الدير البحري [Ad-Daīr al-baḥrī])		https://www.geonames.org/361834	https://pleiades.stoa.org/places/785970	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=120-050	https://www.trismegistos.org/place/1341	https://www.wikidata.org/wiki/Q373909
CoEg_place_00000120	Fayoum	29.45361 	30.58083 	(الفيوم [Al-Faīyūm])		https://www.geonames.org/8556336		http://topbib.griffith.ox.ac.uk//dtb.html?topbib=406	https://www.trismegistos.org/place/332	https://www.wikidata.org/wiki/Q1399125
CoEg_place_00000121	Pyramides (Gizah)	29.98333 	31.13333 			https://www.geonames.org/355017	https://pleiades.stoa.org/places/979282842	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=302	https://www.trismegistos.org/place/716	https://www.wikidata.org/wiki/Q13217298
CoEg_place_00000122	Naples	40.833333 	14.25 			https://www.geonames.org/3172395	https://pleiades.stoa.org/places/433014		https://www.trismegistos.org/place/2676	https://www.wikidata.org/wiki/Q2634
CoEg_place_00000123	Damiette	31.416667	31.816667 	(دمياط [Dumīyāṭ])		https://www.geonames.org/358048	https://pleiades.stoa.org/places/727235		https://www.trismegistos.org/place/3054	https://www.wikidata.org/wiki/Q189383
CoEg_place_00000124	Athribis	30.466667 	31.183333	(أتريب [’Atrīb])		https://www.geonames.org/359280	https://pleiades.stoa.org/places/727078	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=901-110-001	http://www.trismegistos.org/place/369	https://www.wikidata.org/wiki/Q755734
CoEg_place_00000125	Bubastis	30.572778	31.51	(تلّ بسطة [Tell Basṭah])		https://www.geonames.org/358710	https://pleiades.stoa.org/places/727088	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=901-118-001	https://www.trismegistos.org/place/462	https://www.wikidata.org/wiki/Q603841
CoEg_place_00000126	Coptos	26	32.816667	( قفط [Qifṭ])		https://www.geonames.org/350560	https://pleiades.stoa.org/places/786010	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=901-205-003	http://www.trismegistos.org/place/1159	https://www.wikidata.org/wiki/Q935454
CoEg_place_00000127	Afrique	1	17							https://www.wikidata.org/wiki/Q15
CoEg_place_00000128	Taposiris Magna	30.95	29.51667			https://www.geonames.org/362072	https://pleiades.stoa.org/places/727241	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=901-400-003	https://www.trismegistos.org/place/2260	https://www.wikidata.org/wiki/Q7684735
CoEg_place_00000129	Mer Égée	38.5	25.3 			https://www.geonames.org/265695	https://pleiades.stoa.org/places/560221		https://www.trismegistos.org/place/33222	https://www.wikidata.org/wiki/Q34575
CoEg_place_00000130	Hermopolis	27.774439	30.801111			https://www.geonames.org/355952	https://pleiades.stoa.org/places/756574	http://topbib.griffith.ox.ac.uk//dtb.html?topbib=901-215-001	https://www.trismegistos.org/place/816	https://www.wikidata.org/wiki/Q732908
CoEg_place_00000131	Göttingen	51.533889	9.935556			https://www.geonames.org/6557373				https://www.wikidata.org/wiki/Q3033
CoEg_place_00000132	Californie	37	120			https://www.geonames.org/5332921				https://www.wikidata.org/wiki/Q99
CoEg_place_00000133	Pont-de-Briques	50.681667	1.625833			https://www.geonames.org/2980283				https://www.wikidata.org/wiki/Q874139
